1	1-1	[0:1]	[0:1]	Table of contents	Table des matières	0.6852
2	2-2	[1:3]	[1:3]	Our plan: Building Canada strong Global Generational Shifts Canada can achieve its ambition Our Plan to Build, Protect, and Empower Canada Spending less to invest more Comprehensive Expenditure Review Our Generational Investments An Economy by Canadians, for Canadians Foreword	Notre plan : Bâtir un Canada fort Un monde en pleine transformation Le Canada peut réaliser ses ambitions Notre plan pour bâtir, protéger et renforcer le Canada Réduire les dépenses pour investir davantage Examen exhaustif des dépenses Nos investissements générationnels Une économie par les Canadiens pour les Canadiens Avant-propos	0.6274
3	1-1*	[3:4]|subS[0:1/5]	[3:4]|subT[0:1/5]	Economic and fiscal overview A Changing World, A New Opportunity A Pivotal Moment for Canada's Economy Building Canada's Future Economy 1. Global Context 2.	Aperçu de la situation économique et budgétaire Un monde en évolution, de nouvelles occasions L'économie canadienne à un tournant Bâtir l'économie canadienne de demain 1.	0.5975
4	1-1*	[3:4]|subS[1:2/5]	[3:4]|subT[1:2/5]	Canadian Economic Context 3.	Contexte mondial 2. Contexte économique canadien 3.	0.6257
5	1-1*	[3:4]|subS[2:3/5]	[3:4]|subT[2:3/5]	Canadian Economic Outlook 4.	Perspectives de l'économie canadienne 4.	0.6246
6	1-1*	[3:4]|subS[3:4/5]	[3:4]|subT[3:4/5]	Building a Strong and Competitive Economy 5.	Bâtir une économie forte et compétitive 5.	0.6646
7	1-1*	[3:4]|subS[4:5/5]	[3:4]|subT[4:5/5]	Economic Strength Through Fiscal Discipline	Une économie forte grâce à la rigueur budgétaire	0.4934
8	1-1	[4:5]	[4:5]	Chapter 1: Building a stronger Canadian economy 1.1 Accelerating Major Nation-Building Projects 1.2 Supercharging Growth 1.3 Canada's Climate Competitiveness Strategy 1.4 Increasing Competition	Chapitre 1 : Bâtir une économie canadienne plus forte 1.1 Accélérer la réalisation des grands projets d'intérêt national 1.2 Dynamiser la croissance 1.3 Stratégie de compétitivité climatique du Canada 1.4 Accroître la concurrence	0.6603
9	1-1	[5:6]	[5:6]	Chapter 2: Shifting from reliance to resilience 2.1 Protecting Canada's Strategic Industries 2.2 Growing Canada's Trade with the World	Chapitre 2 : Passer de la dépendance à la résilience 2.1 Protéger les industries stratégiques du Canada 2.2 Accroître le commerce international du Canada	0.6761
10	1-1	[6:7]	[6:7]	Chapter 3: Empowering Canadians 3.1 Supercharging Home Building Across the Country 3.2 Tackling Affordability 3.3 Protecting Canadian Culture, Values, and Identity	Chapitre 3 : Donner plus de pouvoir aux Canadiens 3.1 Dynamiser la construction de logements dans tout le pays 3.2 Rendre le coût de la vie plus abordable 3.3 Protéger la culture, l'identité et les valeurs canadiennes	0.6302
11	1-1	[7:8]	[7:8]	Chapter 4: Protecting Canada's sovereignty and security 4.1 Defending Our Sovereignty 4.2 Protecting Our Borders and Communities 4.3 Building a Stronger Financial System	Chapitre 4 : Préserver la souveraineté et la sécurité du Canada 4.1 Défendre notre souveraineté 4.2 Protéger nos frontières et nos communautés 4.3 Renforcer le système financier	0.6518
12	1-1	[8:9]	[8:9]	Chapter 5: Creating a more efficient and effective government 5.1 Spending Less to Invest More 5.2 Modernising Services 5.3 A More Efficient Tax System 5.4 Advancing Indigenous Tax Jurisdiction Frameworks	Chapitre 5 : Rendre le gouvernement plus efficace et efficient 5.1 Diminuer les dépenses pour investir davantage 5.2 Moderniser les services 5.3 Un régime fiscal plus efficient 5.4 Favoriser l'exercice de la compétence fiscale des gouvernements autochtones	0.6190
13	2-2	[9:11]	[9:11]	Annex 1: Details of economic and fiscal projections Economic Projections Fiscal Projections Supplementary Information Annex 2: Capital budgeting framework Building Canada's Productive Capacity	Annexe 1 : Précisions au sujet des projections économiques et budgétaires Projections économiques Projections budgétaires Renseignements supplémentaires Annexe 2 : Cadre de budgétisation des investissements en capital Accroître la capacité de production du Canada	0.6480
14	2-1*	[11:13]|subS[0:2/3]	[11:13]|subT[0:1/2]	Annex 3: Comprehensive expenditure review: Planned reductions by organisation Agriculture and Agri-Food Canada Revenue Agency Canadian Heritage Crown-Indigenous Relations and Northern Affairs Employment and Workforce Development Energy and Natural Resources Environment and Climate Change Finance Fisheries and Oceans Global Affairs Health Housing, Infrastructure and Communities Immigration, Refugees and Citizenship Indigenous Services Innovation, Science and Industry Justice National Defence Privy Council Public Safety Public Services and Procurement Transport Treasury Board Veterans Affairs Women and Gender Equality Modernising Operations at the Federal Research Granting Councils Modernising Operations at the Regional Development Agencies Annex 4:	Annexe 3 : Examen exhaustif des dépenses : Réductions prévues par organisation Agriculture et agroalimentaire Agence du revenu du Canada Patrimoine canadien Relations Couronne-Autochtones et affaires du Nord Emploi et développement de la main-d'œuvre Énergie et ressources naturelles Environnement et changement climatique Finances Pêches et océans Affaires mondiales Santé Logement, infrastructures et collectivités Immigration, réfugiés et citoyenneté Services aux Autochtones Innovation, sciences et industrie Justice Défense nationale Conseil privé Sécurité publique Services publics et approvisionnement Transports Conseil du Trésor Anciens Combattants Femmes et égalité des genres Moderniser le fonctionnement au sein des Conseils fédéraux de subventions à la recherche Moderniser le fonctionnement au sein des agences de développement régional Annexe 4 :	0.6225
15	1-1*	[11:13]|subS[2:3/3]	[11:13]|subT[1:2/2]	Debt management strategy Introduction Projected Borrowing Activities for 2026-27 Maturity Date Cycles and Benchmark Bond Target Size Ranges	Stratégie de gestion de la dette Introduction Opérations d'emprunt projetées en 2026-2027 Dates d'échéance et fourchettes cibles des obligations de référence	0.6115
16	1-1	[13:14]	[13:14]	Annex 5: Legislative measures	Annexe 5 : Mesures législatives	0.6652
17	1-1*	[14:16]|subS[0:1/3]	[14:16]|subT[0:1/2]	Annex 6: Impacts report A Stronger Canada Through Diversity How Is Canada Doing on Gender Equality?	Annexe 6 : Rapport sur les répercussions Un Canada plus fort grâce à la diversité Où se situe le Canada en matière d'égalité des genres?	0.6715
18	2-1*	[14:16]|subS[1:3/3]	[14:16]|subT[1:2/2]	Detailed Summary of Impacts by Measure Tax measures: Supplementary information Overview Personal Income Tax Measures Business Income Tax Measures International Tax Measures Sales and Excise Tax Measures Strategic Environmental and Economic Assessment Statement Previously Announced Measures	Résumé détaillé des répercussions en fonction de la mesure Mesures fiscales : Renseignements supplémentaires Aperçu Mesures visant l'impôt sur le revenu des particuliers Mesures visant l'impôt sur le revenu des sociétés Mesures visant la fiscalité internationale Mesures visant les taxes de vente et d'accise Déclaration sur l'évaluation environnementale et économique stratégique Mesures annoncées antérieurement	0.5047
19	1-1	[16:17]	[16:17]	Notice of Ways and Means Motion to Amend the Income Tax Act and the Income Tax Regulations	Avis de motion de voies et moyens visant à modifier la Loi de l'impôt sur le revenu et le Règlement de l'impôt sur le revenu	0.5443
20	2-2	[17:19]	[17:19]	Notice of Ways and Means Motion to amend the Excise Tax Act Notice of Ways and Means Motion to amend the Underused Housing Tax Act and a Related Text	Avis de motion de voies et moyens visant à modifier la Loi sur la taxe d'accise Avis de motion de voies et moyens visant à modifier la Loi sur la taxe sur les logements sous-utilisés et un texte connexe	0.4490
21	2-2	[19:21]	[19:21]	Notice of Ways and Means Motion to amend the Select Luxury Items Tax Act Our plan: Building Canada strong	Avis de motion de voies et moyens visant à modifier la Loi sur la taxe sur certains biens de luxe Notre plan : Bâtir un Canada fort	0.6077
22	1-1*	[21:23]|subS[0:1/4]	[21:23]|subT[0:1/4]	Global Generational Shifts The world is undergoing a series of fundamental shifts at a speed, scale, and scope not seen since the fall of the Berlin Wall.	Un monde en pleine transformation Le monde entier traverse une période de grands changements d'une rapidité, d'une ampleur et d'une portée qui n'avaient pas été observées depuis la chute du mur de Berlin.	0.6093
23	1-1*	[21:23]|subS[1:2/4]	[21:23]|subT[1:2/4]	The rules-based international order and the trading system that powered Canada's prosperity for decades are being reshaped—threatening our sovereignty, our prosperity, and our values.	On assiste à un remaniement de l'ordre international fondé sur les règles, ainsi que du système commercial qui a alimenté pendant des décennies la prospérité du Canada. Ces changements menacent notre souveraineté, notre prospérité et nos valeurs.	0.5881
24	1-1*	[21:23]|subS[2:3/4]	[21:23]|subT[2:3/4]	Long-standing supply chains and trade relationships that once ensured stable growth, good jobs, and affordable products are being disrupted.	Les chaînes d'approvisionnement et les relations commerciales traditionnelles qui assuraient autrefois une croissance soutenue, de bons emplois et des produits abordables ont été déstabilisées.	0.5481
25	1-1*	[21:23]|subS[3:4/4]	[21:23]|subT[3:4/4]	In the process we must redefine Canada's international, commercial, and security relationships.	Dans ce contexte, nous devons redéfinir les relations internationales, commerciales et en matière de sécurité du Canada.	0.5677
26	1-1*	[23:25]|subS[0:1/3]	[23:25]|subT[0:1/3]	This is not a transition.	Il ne s'agit pas d'une simple transition.	0.5099
27	1-1*	[23:25]|subS[1:2/3]	[23:25]|subT[1:2/3]	It is a rupture—a generational shift taking place over a short period of time.	Il s'agit d'une rupture, d'un changement de portée historique qui se déroule sur une courte période.	0.4787
28	1-1*	[23:25]|subS[2:3/3]	[23:25]|subT[2:3/3]	This new reality is reshaping Canada's economic foundations.	Cette nouvelle réalité transforme nos assises économiques.	0.4208
29	2-2	[25:27]	[25:27]	Current Economic Challenges All advanced economies are feeling global economic challenges, and Canada is no different. With the historic rise in tariffs posing significant challenges to the Canadian economy, Canadians are feeling the impact in their daily lives:	Défis économiques actuels Toutes les économies avancées ressentent l'effet de ces défis économiques mondiaux, et le Canada ne fait pas exception. En raison de la hausse historique des droits de douane qui exercent d'importantes pressions sur l'économie du pays, les Canadiens en ressentent les effets sur leur vie quotidienne :	0.6100
30	2-2	[27:29]	[27:29]	The cost of living remains high, putting financial pressure on families and small businesses. Unemployment has increased, driven by weak hiring and layoffs in trade-exposed sectors such as manufacturing.	Le coût de la vie qui demeure élevé exerce une pression sur la situation financière des familles et des petites entreprises. On constate une hausse du taux de chômage en raison du faible taux d'embauche et des mises à pied dans les secteurs sensibles aux échanges commerciaux, comme celui de la fabrication.	0.5573
31	2-2	[29:31]	[29:31]	Businesses face ongoing uncertainty, delaying investment and expansion, as in other G7 countries. Global economic growth has slowed, with real GDP in advanced economies expected to grow 1.6 per cent in 2025 and 2026.	Comme c'est le cas dans d'autres pays du G7, les entreprises reportent leurs investissements et leurs projets d'agrandissement face à l'incertitude persistante. La croissance économique mondiale a ralenti, et on s'attend à ce que le PIB réel des économies avancées ne progresse que de 1,6 % en 2025 et en 2026.	0.6348
32	2-2	[31:33]	[31:33]	Productivity remains weak, limiting wage gains for workers. Oil prices are lower and volatile, adding pressure on exports and revenues.	La productivité demeure faible et freine les gains salariaux des travailleurs. La baisse et l'instabilité des prix du pétrole accentuent les pressions qui s'exercent sur les exportations et les revenus.	0.5794
33	2-2*	[33:35]|subS[0:2/6]	[33:35]|subT[0:2/6]	Canada's new government is responding. Canada is being recognised for our approach to navigating these global challenges.	Le nouveau gouvernement agit en conséquence. Le Canada est reconnu pour sa façon de composer avec ces défis mondiaux.	0.6677
34	1-1*	[33:35]|subS[2:3/6]	[33:35]|subT[2:3/6]	The Managing Director of the International Monetary Fund, Kristalina Georgieva, acknowledged that "both Germany and Canada recognise that in this very testing time, they need to use their fiscal space.	La directrice générale du Fonds monétaire international, Kristalina Georgieva, a observé que « l'Allemagne et le Canada reconnaissent que dans cette conjoncture éprouvante, il faut utiliser la marge de manœuvre budgétaire.	0.6256
35	1-1*	[33:35]|subS[3:4/6]	[33:35]|subT[3:4/6]	In the case of Canada, the Canadian authorities have been very decisive to take action in the context of changing relations with their main trading partner.	Au Canada, les autorités n'ont pas hésité à prendre des mesures déterminantes dans un contexte où les relations du pays avec son principal partenaire commercial changent [traduction] ».	0.6496
